,smiles,string,deltaGmin,A2_normalized,deltaGmin_cat,A2_normalized_cat,num_[W],max_[W],num_[Tr],max_[Tr],num_[Ta],max_[Ta],num_[R],max_[R],[W],[W],[Tr],[Tr],[Ta],[Ta],[R],[R],rel_shannon,length
12,[W][W][W][Tr][R][R][Ta][Ta][W][W][W][Ta][W][Tr][Ta][R][Tr][Tr][R][W],W-W-W-B-R-R-A-A-W-W-W-A-W-B-A-R-B-B-R-W,-5.725815511111109,0.2218092344808616,very large,large,0.4,3,0.2,2,0.2,2,0.2,2,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
13,[Ta][W][W][Tr][Tr][Tr][R][R][Tr][R][Ta][W][W][Ta][R][W][W][W][W][Ta],A-W-W-B-B-B-R-R-B-R-A-W-W-A-R-W-W-W-W-A,-6.108037400000004,0.3296570298322505,very large,very large,0.6,4,0.2,3,0.0,0,0.2,2,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
14,[R][W][W][W][Ta][W][Ta][Tr][Ta][W][Tr][R][W][Ta][Tr][W][R][W][Tr][R],R-W-W-W-A-W-A-B-A-W-B-R-W-A-B-W-R-W-B-R,-5.098399777777773,-0.0102433593831278,very large,small,1.0,3,0.0,0,0.0,0,0.0,0,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
15,[W][R][W][R][W][Ta][W][Tr][W][Tr][R][Tr][W][R][W][Ta][Tr][Ta][W][W][Ta][W],W-R-W-R-W-A-W-B-W-B-R-B-W-R-W-A-B-A-W-W-A-W,-3.827768777777778,0.0502497791909191,very large,medium,1.0,2,0.0,0,0.0,0,0.0,0,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
16,[R][R][R][Tr][W][W][W][Ta][Tr][W][Tr][Ta][W][R][W][Tr][Ta][W][Ta][W][W][W],R-R-R-B-W-W-W-A-B-W-B-A-W-R-W-B-A-W-A-W-W-W,-5.153167333333335,0.4527680956373901,very large,very large,0.6666666666666666,3,0.0,0,0.0,0,0.3333333333333333,3,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
17,[Ta][Tr][W][W][R][Tr][W][W][Ta][W][R][W][W][W][Tr][W][W][R][Tr][Ta][Ta][R],A-B-W-W-R-B-W-W-A-W-R-W-W-W-B-W-W-R-B-A-A-R,-5.229208244444444,0.1339368776968274,very large,large,0.8,3,0.0,0,0.2,2,0.0,0,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
18,[R][W][R][W][Ta][Tr][Tr][W][Tr][Tr][W][Ta][W][R][Ta][W][W][R][Ta][W][W][W],R-W-R-W-A-B-B-W-B-B-W-A-W-R-A-W-W-R-A-W-W-W,-4.6992663111111135,0.6949381359139037,very large,very large,0.5,3,0.5,2,0.0,0,0.0,0,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
19,[Ta][W][Tr][R][W][Tr][Ta][W][W][R][Tr][W][W][W][R][W][W][Ta][W][Ta][R][Tr],A-W-B-R-W-B-A-W-W-R-B-W-W-W-R-W-W-A-W-A-R-B,-4.295751511111112,0.3274691632148223,very large,very large,1.0,3,0.0,0,0.0,0,0.0,0,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
20,[W][R][Tr][W][W][R][Ta][W][Tr][W][W][R][W][Ta][W][Tr][W][Ta][Tr][W][W][R][W][Ta],W-R-B-W-W-R-A-W-B-W-W-R-W-A-W-B-W-A-B-W-W-R-W-A,-3.035130800000002,0.4282999210354526,very large,very large,1.0,2,0.0,0,0.0,0,0.0,0,12.0,0.5,4.0,0.1666666666666666,4.0,0.1666666666666666,4.0,0.1666666666666666,0.3909478540072341,24
21,[W][Ta][R][W][W][Tr][W][Ta][W][Ta][Tr][W][W][R][W][Ta][Tr][R][W][W][R][W][W][Tr],W-A-R-W-W-B-W-A-W-A-B-W-W-R-W-A-B-R-W-W-R-W-W-B,-3.7942442444444455,-0.0378325740192017,very large,small,1.0,2,0.0,0,0.0,0,0.0,0,12.0,0.5,4.0,0.1666666666666666,4.0,0.1666666666666666,4.0,0.1666666666666666,0.3909478540072341,24
22,[Ta][W][W][Ta][W][R][Tr][W][W][R][Ta][Tr][Ta][Tr][W][W][R][W][W][Tr][W][W][R][W],A-W-W-A-W-R-B-W-W-R-A-B-A-B-W-W-R-W-W-B-W-W-R-W,-3.750494555555555,-0.049280659081412,very large,small,1.0,2,0.0,0,0.0,0,0.0,0,12.0,0.5,4.0,0.1666666666666666,4.0,0.1666666666666666,4.0,0.1666666666666666,0.3909478540072341,24
23,[R][R][W][Tr][W][W][W][Tr][Ta][W][Ta][W][Tr][R][W][W][Ta][W][Tr][W][R][Ta][W][W],R-R-W-B-W-W-W-B-A-W-A-W-B-R-W-W-A-W-B-W-R-A-W-W,-3.6235692,0.3118827822273782,very large,very large,0.75,3,0.0,0,0.0,0,0.25,2,12.0,0.5,4.0,0.1666666666666666,4.0,0.1666666666666666,4.0,0.1666666666666666,0.3909478540072341,24
24,[W][W][R][Ta][Tr][Tr][Ta][R][W][Ta][W][R][W][W][W][W][W][W][Tr][W][W][Ta][Tr][R],W-W-R-A-B-B-A-R-W-A-W-R-W-W-W-W-W-W-B-W-W-A-B-R,-4.739928822222224,-0.1340328864343424,very large,very small,0.75,6,0.25,2,0.0,0,0.0,0,12.0,0.5,4.0,0.1666666666666666,4.0,0.1666666666666666,4.0,0.1666666666666666,0.3909478540072341,24
25,[R][Ta][W][Tr][R][R][W][Ta][Ta][Tr][Ta][R][W][Tr][Tr][W][Ta][Ta],R-A-W-B-R-R-W-A-A-B-A-R-W-B-B-W-A-A,-7.473622511111112,0.3805388524776429,very large,very large,0.0,0,0.25,2,0.5,2,0.25,2,4.0,0.2222222222222222,4.0,0.2222222222222222,6.0,0.3333333333333333,4.0,0.2222222222222222,0.4736146334811361,18
26,[W][Tr][Ta][Ta][R][Tr][R][R][Ta][W][Tr][Ta][W][R][W][Tr][Ta][Ta],W-B-A-A-R-B-R-R-A-W-B-A-W-R-W-B-A-A,-8.49029911111111,-0.7853587536397361,very large,very small,0.0,0,0.0,0,0.6666666666666666,2,0.3333333333333333,2,4.0,0.2222222222222222,4.0,0.2222222222222222,6.0,0.3333333333333333,4.0,0.2222222222222222,0.4736146334811361,18
27,[Ta][Tr][W][Ta][Ta][W][Ta][Tr][W][Ta][R][R][Tr][W][Ta][R][Tr][R],A-B-W-A-A-W-A-B-W-A-R-R-B-W-A-R-B-R,-8.311674688888887,-0.2195282603262119,very large,very small,0.0,0,0.0,0,0.5,2,0.5,2,4.0,0.2222222222222222,4.0,0.2222222222222222,6.0,0.3333333333333333,4.0,0.2222222222222222,0.4736146334811361,18
28,[Tr][Tr][Tr][Ta][R][W][W][W][Ta][Ta][Ta][Tr][R][R][W][R][Ta][Ta],B-B-B-A-R-W-W-W-A-A-A-B-R-R-W-R-A-A,-8.727434511111113,-0.2678373969311723,very large,very small,0.2,3,0.2,3,0.4,3,0.2,2,4.0,0.2222222222222222,4.0,0.2222222222222222,6.0,0.3333333333333333,4.0,0.2222222222222222,0.4736146334811361,18
29,[Ta][Ta][R][Tr][Tr][R][W][Ta][Tr][R][Tr][Ta][W][Ta][R][W][Ta][W],A-A-R-B-B-R-W-A-B-R-B-A-W-A-R-W-A-W,-7.092548511111114,-0.2976210440276901,very large,very small,0.0,0,0.5,2,0.5,2,0.0,0,4.0,0.2222222222222222,4.0,0.2222222222222222,6.0,0.3333333333333333,4.0,0.2222222222222222,0.4736146334811361,18
30,[R][W][Ta][Ta][Ta][Ta][W][W][Tr][W][W][Tr][Tr][Tr][Ta][W][R][R][Ta][R],R-W-A-A-A-A-W-W-B-W-W-B-B-B-A-W-R-R-A-R,-7.768155422222221,0.3739858501107121,very large,very large,0.4,2,0.2,3,0.2,4,0.2,2,6.0,0.3,4.0,0.2,6.0,0.3,4.0,0.2,0.4560350267710863,20
31,[W][Tr][Tr][Tr][Ta][Ta][Tr][Ta][Ta][W][W][R][R][R][R][W][Ta][Ta][W][W],W-B-B-B-A-A-B-A-A-W-W-R-R-R-R-W-A-A-W-W,-7.483449933333331,0.6386082422693197,very large,very large,0.2857142857142857,2,0.1428571428571428,3,0.4285714285714285,2,0.1428571428571428,4,6.0,0.3,4.0,0.2,6.0,0.3,4.0,0.2,0.4560350267710863,20
32,[Ta][Tr][W][Tr][Ta][R][W][W][Ta][W][R][W][Tr][Ta][Ta][W][Ta][Tr][R][R],A-B-W-B-A-R-W-W-A-W-R-W-B-A-A-W-A-B-R-R,-7.168900755555554,0.6638067484967016,very large,very large,0.3333333333333333,2,0.0,0,0.3333333333333333,2,0.3333333333333333,2,6.0,0.3,4.0,0.2,6.0,0.3,4.0,0.2,0.4560350267710863,20
33,[R][Tr][Ta][W][Tr][R][W][W][Ta][W][W][Ta][R][W][Ta][Ta][Tr][Ta][R][Tr],R-B-A-W-B-R-W-W-A-W-W-A-R-W-A-A-B-A-R-B,-7.408500844444448,0.7117975652855999,very large,very large,0.6666666666666666,2,0.0,0,0.3333333333333333,2,0.0,0,6.0,0.3,4.0,0.2,6.0,0.3,4.0,0.2,0.4560350267710863,20
34,[W][W][Ta][Tr][W][R][Tr][W][Ta][W][Tr][R][Ta][Tr][Ta][W][R][Ta][Ta][R],W-W-A-B-W-R-B-W-A-W-B-R-A-B-A-W-R-A-A-R,-7.8096754666666595,0.1485230916243111,very large,large,0.5,2,0.0,0,0.5,2,0.0,0,6.0,0.3,4.0,0.2,6.0,0.3,4.0,0.2,0.4560350267710863,20
35,[Ta][Tr][R][Tr][Ta][W][R][W][R][W][Tr][Tr][R][Ta][W][W][W][Ta][Ta][Ta][W][W],A-B-R-B-A-W-R-W-R-W-B-B-R-A-W-W-W-A-A-A-W-W,-6.062767422222227,0.3315596406158095,very large,very large,0.5,3,0.25,2,0.25,3,0.0,0,8.0,0.3636363636363636,4.0,0.1818181818181818,6.0,0.2727272727272727,4.0,0.1818181818181818,0.4341943532532976,22
36,[R][W][R][Ta][W][Tr][R][Tr][Tr][W][Ta][W][W][W][Ta][Ta][Ta][W][R][W][Tr][Ta],R-W-R-A-W-B-R-B-B-W-A-W-W-W-A-A-A-W-R-W-B-A,-5.998904555555551,0.283922557864937,very large,very large,0.3333333333333333,3,0.3333333333333333,2,0.3333333333333333,3,0.0,0,8.0,0.3636363636363636,4.0,0.1818181818181818,6.0,0.2727272727272727,4.0,0.1818181818181818,0.4341943532532976,22
37,[Ta][W][W][Tr][Ta][Ta][W][Ta][W][Ta][R][Tr][R][W][W][Tr][Ta][Tr][W][R][R][W],A-W-W-B-A-A-W-A-W-A-R-B-R-W-W-B-A-B-W-R-R-W,-6.669927199999999,0.0043878089946937,very large,small,0.5,2,0.0,0,0.25,2,0.25,2,8.0,0.3636363636363636,4.0,0.1818181818181818,6.0,0.2727272727272727,4.0,0.1818181818181818,0.4341943532532976,22
38,[R][Ta][Tr][R][Tr][W][W][W][W][Tr][Ta][Ta][Ta][R][W][Ta][W][Ta][W][Tr][R][W],R-A-B-R-B-W-W-W-W-B-A-A-A-R-W-A-W-A-W-B-R-W,-7.141929422222218,0.8892925672009748,very large,very large,0.5,4,0.0,0,0.5,3,0.0,0,8.0,0.3636363636363636,4.0,0.1818181818181818,6.0,0.2727272727272727,4.0,0.1818181818181818,0.4341943532532976,22
39,[W][Ta][Ta][Ta][W][R][R][R][Tr][Tr][Ta][W][W][Tr][Tr][W][W][W][R][Ta][Ta][W],W-A-A-A-W-R-R-R-B-B-A-W-W-B-B-W-W-W-R-A-A-W,-6.698649244444445,-0.1103742309114393,very large,very small,0.2857142857142857,3,0.2857142857142857,2,0.2857142857142857,3,0.1428571428571428,3,8.0,0.3636363636363636,4.0,0.1818181818181818,6.0,0.2727272727272727,4.0,0.1818181818181818,0.4341943532532976,22
40,[W][W][R][Ta][Tr][Ta][Ta][Tr][W][W][Ta][Tr][W][W][Tr][R][W][R][R][Ta][W][W][Ta][W],W-W-R-A-B-A-A-B-W-W-A-B-W-W-B-R-W-R-R-A-W-W-A-W,-6.496305488888892,0.0763908215530529,very large,medium,0.6666666666666666,2,0.0,0,0.1666666666666666,2,0.1666666666666666,2,10.0,0.4166666666666667,4.0,0.1666666666666666,6.0,0.25,4.0,0.1666666666666666,0.4117631283514722,24
41,[W][W][W][Ta][W][W][Ta][Ta][Ta][Ta][R][Ta][W][R][W][R][W][Tr][Tr][W][R][Tr][Tr][W],W-W-W-A-W-W-A-A-A-A-R-A-W-R-W-R-W-B-B-W-R-B-B-W,-6.725735511111116,0.5390124120711037,very large,very large,0.4,3,0.4,2,0.2,4,0.0,0,10.0,0.4166666666666667,4.0,0.1666666666666666,6.0,0.25,4.0,0.1666666666666666,0.4117631283514722,24
42,[W][Tr][Tr][Ta][Ta][R][W][Ta][W][Tr][W][W][W][W][W][R][Ta][W][W][R][R][Ta][Ta][Tr],W-B-B-A-A-R-W-A-W-B-W-W-W-W-W-R-A-W-W-R-R-A-A-B,-6.844249399999998,-0.0589882448138291,very large,very small,0.3333333333333333,5,0.1666666666666666,2,0.3333333333333333,2,0.1666666666666666,2,10.0,0.4166666666666667,4.0,0.1666666666666666,6.0,0.25,4.0,0.1666666666666666,0.4117631283514722,24
43,[R][W][R][Ta][W][Ta][Ta][W][Tr][W][W][W][W][Ta][W][W][Tr][Ta][W][R][R][Ta][Tr][Tr],R-W-R-A-W-A-A-W-B-W-W-W-W-A-W-W-B-A-W-R-R-A-B-B,-6.227396200000004,0.4726010813210845,very large,very large,0.4,4,0.2,2,0.2,2,0.2,2,10.0,0.4166666666666667,4.0,0.1666666666666666,6.0,0.25,4.0,0.1666666666666666,0.4117631283514722,24
44,[Ta][Ta][Ta][Tr][Ta][Tr][W][W][Ta][R][W][R][W][R][W][Tr][W][Tr][W][W][W][Ta][W][R],A-A-A-B-A-B-W-W-A-R-W-R-W-R-W-B-W-B-W-W-W-A-W-R,-6.3983171999999975,0.2301356871052451,very large,very large,0.6666666666666666,3,0.0,0,0.3333333333333333,3,0.0,0,10.0,0.4166666666666667,4.0,0.1666666666666666,6.0,0.25,4.0,0.1666666666666666,0.4117631283514722,24
45,[Tr][Tr][W][W][Ta][W][R][Ta][W][Ta][W][W][R][Tr][Ta][W][W][W][Ta][Ta][R][Tr][W][W][R][W],B-B-W-W-A-W-R-A-W-A-W-W-R-B-A-W-W-W-A-A-R-B-W-W-R-W,-5.137849733333332,0.495928170205985,very large,very large,0.6666666666666666,3,0.1666666666666666,2,0.1666666666666666,2,0.0,0,12.0,0.4615384615384615,4.0,0.1538461538461538,6.0,0.2307692307692307,4.0,0.1538461538461538,0.390160778057399,26
46,[R][W][R][Tr][W][W][Ta][Tr][Ta][W][W][W][W][W][Tr][W][Ta][R][Ta][W][Ta][Ta][Tr][R][W][W],R-W-R-B-W-W-A-B-A-W-W-W-W-W-B-W-A-R-A-W-A-A-B-R-W-W,-5.951372711111109,0.3930668528661226,very large,very large,0.75,5,0.0,0,0.25,2,0.0,0,12.0,0.4615384615384615,4.0,0.1538461538461538,6.0,0.2307692307692307,4.0,0.1538461538461538,0.390160778057399,26
47,[Tr][Ta][R][Tr][W][W][W][R][W][W][W][W][Ta][W][Tr][R][R][Ta][W][W][Ta][Ta][Ta][W][W][Tr],B-A-R-B-W-W-W-R-W-W-W-W-A-W-B-R-R-A-W-W-A-A-A-W-W-B,-6.229957733333329,0.2122446904885255,very large,large,0.6666666666666666,4,0.0,0,0.1666666666666666,3,0.1666666666666666,2,12.0,0.4615384615384615,4.0,0.1538461538461538,6.0,0.2307692307692307,4.0,0.1538461538461538,0.390160778057399,26
48,[Tr][W][Ta][W][Ta][Tr][Ta][W][Ta][W][W][W][R][W][R][W][W][W][R][Ta][Ta][Tr][R][Tr][W][W],B-W-A-W-A-B-A-W-A-W-W-W-R-W-R-W-W-W-R-A-A-B-R-B-W-W,-5.280911177777781,-0.0135400603921781,very large,small,0.75,3,0.0,0,0.25,2,0.0,0,12.0,0.4615384615384615,4.0,0.1538461538461538,6.0,0.2307692307692307,4.0,0.1538461538461538,0.390160778057399,26
49,[Tr][W][W][Tr][W][Ta][R][R][Tr][W][W][Ta][W][W][W][W][Ta][Ta][W][W][W][Ta][R][R][Tr][Ta],B-W-W-B-W-A-R-R-B-W-W-A-W-W-W-W-A-A-W-W-W-A-R-R-B-A,-6.687871511111119,0.6505284279788095,very large,very large,0.5714285714285714,4,0.0,0,0.1428571428571428,2,0.2857142857142857,2,12.0,0.4615384615384615,4.0,0.1538461538461538,6.0,0.2307692307692307,4.0,0.1538461538461538,0.390160778057399,26
50,[W][Ta][W][Tr][W][W][Ta][Ta][Ta][Tr][Tr][Ta][R][R][Ta][R][R][Ta][Tr][Ta],W-A-W-B-W-W-A-A-A-B-B-A-R-R-A-R-R-A-B-A,-9.750428399999995,0.6768776271023792,large,very large,0.2,2,0.2,2,0.2,3,0.4,2,4.0,0.2,4.0,0.2,8.0,0.4,4.0,0.2,0.4446922884165779,20
51,[W][Ta][Ta][Ta][Tr][W][Ta][R][Ta][Tr][Ta][R][Tr][R][W][R][Ta][Tr][Ta][W],W-A-A-A-B-W-A-R-A-B-A-R-B-R-W-R-A-B-A-W,-9.236555088888894,0.401202100847258,large,very large,0.0,0,0.0,0,1.0,3,0.0,0,4.0,0.2,4.0,0.2,8.0,0.4,4.0,0.2,0.4446922884165779,20
52,[Ta][R][Ta][Ta][Tr][Ta][W][W][R][Tr][Ta][W][Tr][Tr][W][R][Ta][Ta][Ta][R],A-R-A-A-B-A-W-W-R-B-A-W-B-B-W-R-A-A-A-R,-9.69241662222222,0.0520153047562664,large,medium,0.25,2,0.25,2,0.5,3,0.0,0,4.0,0.2,4.0,0.2,8.0,0.4,4.0,0.2,0.4446922884165779,20
53,[W][Ta][Ta][W][Ta][W][Tr][Tr][Ta][Tr][Ta][R][R][Ta][Ta][R][R][W][Ta][Tr],W-A-A-W-A-W-B-B-A-B-A-R-R-A-A-R-R-W-A-B,-9.482770733333338,0.5278116225653865,large,very large,0.0,0,0.2,2,0.4,2,0.4,2,4.0,0.2,4.0,0.2,8.0,0.4,4.0,0.2,0.4446922884165779,20
54,[W][Tr][Ta][R][R][Tr][Tr][R][Ta][Tr][W][Ta][W][Ta][Ta][Ta][Ta][Ta][W][R],W-B-A-R-R-B-B-R-A-B-W-A-W-A-A-A-A-A-W-R,-9.550020266666666,0.5721316419216772,large,very large,0.0,0,0.3333333333333333,2,0.3333333333333333,5,0.3333333333333333,2,4.0,0.2,4.0,0.2,8.0,0.4,4.0,0.2,0.4446922884165779,20
55,[W][Tr][Ta][Ta][Ta][Ta][R][W][W][W][Tr][Ta][R][W][Ta][W][R][Tr][Tr][R][Ta][Ta],W-B-A-A-A-A-R-W-W-W-B-A-R-W-A-W-R-B-B-R-A-A,-9.678986866666664,0.1267002800886707,large,large,0.25,3,0.25,2,0.5,4,0.0,0,6.0,0.2727272727272727,4.0,0.1818181818181818,8.0,0.3636363636363636,4.0,0.1818181818181818,0.4341943532532976,22
56,[Ta][Tr][W][R][R][Ta][Tr][Ta][W][W][W][Tr][Ta][R][R][Tr][Ta][Ta][Ta][W][W][Ta],A-B-W-R-R-A-B-A-W-W-W-B-A-R-R-B-A-A-A-W-W-A,-9.507337733333328,0.5143663951001476,large,very large,0.4,3,0.0,0,0.2,3,0.4,2,6.0,0.2727272727272727,4.0,0.1818181818181818,8.0,0.3636363636363636,4.0,0.1818181818181818,0.4341943532532976,22
57,[W][W][W][W][Ta][Ta][Tr][R][Ta][Ta][Tr][W][Ta][Tr][Ta][R][W][Ta][R][Ta][R][Tr],W-W-W-W-A-A-B-R-A-A-B-W-A-B-A-R-W-A-R-A-R-B,-10.010626266666671,-0.0967295658285917,large,very small,0.3333333333333333,4,0.0,0,0.6666666666666666,2,0.0,0,6.0,0.2727272727272727,4.0,0.1818181818181818,8.0,0.3636363636363636,4.0,0.1818181818181818,0.4341943532532976,22
58,[Ta][Tr][Ta][Ta][Tr][Ta][W][Ta][W][W][Tr][Ta][R][Ta][W][W][Ta][Tr][W][R][R][R],A-B-A-A-B-A-W-A-W-W-B-A-R-A-W-W-A-B-W-R-R-R,-8.679530911111115,0.021073845407595,very large,small,0.5,2,0.0,0,0.25,2,0.25,3,6.0,0.2727272727272727,4.0,0.1818181818181818,8.0,0.3636363636363636,4.0,0.1818181818181818,0.4341943532532976,22
59,[Ta][Ta][Ta][W][R][R][Tr][Ta][W][W][Ta][R][W][R][Ta][W][Ta][Ta][Tr][W][Tr][Tr],A-A-A-W-R-R-B-A-W-W-A-R-W-R-A-W-A-A-B-W-B-B,-8.070174466666664,0.2154533790149087,very large,large,0.2,2,0.2,2,0.4,3,0.2,2,6.0,0.2727272727272727,4.0,0.1818181818181818,8.0,0.3636363636363636,4.0,0.1818181818181818,0.4341943532532976,22
60,[Ta][Ta][R][Ta][Tr][W][Tr][W][Ta][W][W][Ta][R][W][R][Tr][Tr][Ta][Ta][W][R][W][Ta][W],A-A-R-A-B-W-B-W-A-W-W-A-R-W-R-B-B-A-A-W-R-W-A-W,-7.693836622222222,0.2752803026582781,very large,very large,0.25,2,0.25,2,0.5,2,0.0,0,8.0,0.3333333333333333,4.0,0.1666666666666666,8.0,0.3333333333333333,4.0,0.1666666666666666,0.418388554705249,24
61,[W][Ta][R][Tr][Ta][Ta][W][W][Tr][R][W][Ta][Ta][Tr][W][W][Ta][Tr][Ta][Ta][W][R][R][W],W-A-R-B-A-A-W-W-B-R-W-A-A-B-W-W-A-B-A-A-W-R-R-W,-6.974304977777775,0.2132739557677577,very large,large,0.3333333333333333,2,0.0,0,0.5,2,0.1666666666666666,2,8.0,0.3333333333333333,4.0,0.1666666666666666,8.0,0.3333333333333333,4.0,0.1666666666666666,0.418388554705249,24
62,[Tr][W][Ta][Tr][W][W][R][W][Tr][R][R][R][Tr][W][Ta][W][Ta][Ta][Ta][W][Ta][Ta][W][Ta],B-W-A-B-W-W-R-W-B-R-R-R-B-W-A-W-A-A-A-W-A-A-W-A,-8.292957577777775,0.2223829845339849,very large,large,0.25,2,0.0,0,0.5,3,0.25,3,8.0,0.3333333333333333,4.0,0.1666666666666666,8.0,0.3333333333333333,4.0,0.1666666666666666,0.418388554705249,24
63,[Ta][R][Ta][Tr][Tr][Ta][Ta][W][R][Ta][Ta][Ta][Tr][Tr][Ta][W][R][W][W][R][W][W][W][W],A-R-A-B-B-A-A-W-R-A-A-A-B-B-A-W-R-W-W-R-W-W-W-W,-8.460030800000016,-0.1322688228357726,very large,very small,0.3333333333333333,4,0.3333333333333333,2,0.3333333333333333,3,0.0,0,8.0,0.3333333333333333,4.0,0.1666666666666666,8.0,0.3333333333333333,4.0,0.1666666666666666,0.418388554705249,24
