basename,yield,solvent1,solvent2,solvent3,solvent4,solvent5,sol_molratio1,sol_molratio2,sol_molratio3,sol_molratio4,sol_molratio5,additive1,additive2,additive3,additive4,additive5,temperature_Celsius,time_h,core_All_Metals,counterions1,counterions2,counterions3,linker_1,linker_2
XUGROI,42.0,CCN(CC)C=O,O,,,,0.379,0.621,,,,Cl,,,,,75,24,Cu,NO3,,,[O-]C(=O)c1cccc(c1)c1cc(c2cccc(c2)C(=O)[O-])c(cc1c1cccc(c1)C(=O)[O-])c1cccc(c1)C(=O)[O-],
YAFJEX,,CN(C)C=O,,,,,1.0,,,,,[H+].[B-](F)(F)(F)F,,,,,75,24,Cu,NO3,,,,
ZIKJOU,42.0,CN(C)C=O,CO,,,,0.345,0.655,,,,[H+].[B-](F)(F)(F)F,,,,,75,60,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],
ZIKJIO,39.0,CN(C)C=O,,,,,1.0,,,,,[H+].[B-](F)(F)(F)F,,,,,75,36,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],
DOZCEC,51.0,CCN(CC)C=O,CO,,,,0.268,0.732,,,,Cl,,,,,75,48,Mn,Cl,,,Cl[Mn]123(Cl)[N]4=C5C=CC4=C(c4n2c(C(=C2[N]1=C(C=C2)C(=c1n3c(=C5c2ccc(cc2)C2=NN=N[N]2)cc1)c1ccc(cc1)C1=NN=N[N]1)c1ccc(cc1)C1=NN=N[N]1)cc4)c1ccc(cc1)C1=NN=N[N]1,
ECIWIW,53.0,CCO,,,,,1.0,,,,,,,,,,130,48,Cd,ClO4,,,[O-]C(=O)c1ccc(cc1)c1ccncc1,
HOZTOG,32.0,CC#N,CN(C)C=O,,,,0.748,0.252,,,,,,,,,75,48,"W,Cu",unknown,unknown,,n1ccn(c1)C1=NC(=[N]=C([N]1)n1ccnc1)n1ccnc1,
LUCKAX,60.0,CN(C)C=O,CCO,O,,,0.193,0.256,0.551,,,,,,,,75,48,Cd,NO3,,,,
CAYQUQ,,CN(C)C=O,O,,,,0.483,0.517,,,,Cl,,,,,80,18,Cu,ClO4,,,,
BAZFUF,,CN(C)C=O,CCO,,,,0.43,0.57,,,,C1=CC=C(C=C1)C(=O)O,C1=CC=NC=C1,,,,80,24,Cu,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
HOZFIN,,C1COCCO1,CCOCCO,,,,0.533,0.467,,,,,,,,,80,24,Li,OH,,,,
REDROI,90.0,CN(C)C=O,,,,,1.0,,,,,OO,,,,,80,24,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
SUKYIH,,CCN(CC)C=O,O,,,,0.328,0.672,,,,Cl,,,,,80,24,Cu,NO3,,,[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
TANMIH,60.0,CCN(CC)C=O,O,,,,0.14,0.86,,,,,,,,,80,24,Co,OAc,,,[O-]C(=O)c1n(cnc1C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],
WOGHEG,60.0,CN(C)C=O,,,,,1.0,,,,,,,,,,80,24,Zn,NO3,,,[O-]C(=O)C=Cc1ccc(cc1)C(=O)[O-],n1ccc(cc1)c1nnc(nn1)c1ccncc1
ZEBMAW,27.5,CN(C)C=O,O,,,,0.419,0.581,,,,,,,,,80,24,"Si,Ce",,NO3,,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
ZEBMEA,77.5,CN(C)C=O,CCO,O,,,0.196,0.26,0.544,,,,,,,,80,24,"Eu,Si",NO3,,,,
ADASAB,,CN(C)C=O,,,,,1.0,,,,,,,,,,80,40,Cu,,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])C1=NN=N[N]1,
APAZOI,39.0,CN(C)C=O,CO,O,,,0.403,0.382,0.215,,,,,,,,80,48,La,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
BOSHIC,65.0,CN(C)C=O,CC#N,O,,,0.343,0.169,0.488,,,Cl,,,,,80,48,Cu,NO3,,,,
CAYQIE,,CCN(CC)C=O,O,,,,0.661,0.339,,,,Cl,,,,,80,48,Cu,ClO4,,,,
DIVSUY,57.0,CN(C)C=O,CCO,O,,,0.193,0.256,0.551,,,,,,,,80,48,Eu,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
GABYUG,,CN(C)C=O,CO,,,,0.345,0.655,,,,Cl,,,,,80,48,Cd,Cl,,,,
GAXKOH,60.0,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],[OH-].[K+],,,,80,48,"Cd,K",NO3,,,[O-]C(=O)c1cccc(c1)c1ccncc1,
IFUPAC,,CN(C)C=O,O,CCO,,,0.196,0.544,0.26,,,,,,,,80,48,Eu,NO3,,,,
IYOQAQ,70.0,CN(C)C=O,O,,,,0.19,0.81,,,,,,,,,80,48,Zn,NO3,,,[O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-],
OQETEK,,CN(C)C=O,O,CCO,,,0.196,0.544,0.26,,,,,,,,80,48,Yb,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
QEBKUF,,CN(C)C=O,O,,,,0.412,0.588,,,,Cl,,,,,80,48,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-])(c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)O,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])C(c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])(c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
TEMPAE,64.0,CN(C)C=O,,,,,1.0,,,,,,,,,,80,48,Zn,NO3,,,[O-]C(=O)c1cc(C)c(c(c1)C)c1c(C)cc(cc1C)C(=O)[O-],
TORPUN,,CN(C)C=O,O,CCO,,,0.196,0.544,0.26,,,,,,,,80,48,Tb,NO3,,,O=C(c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)C(=O)c1ccc(cc1)C(=O)[O-])C(=O)c1ccc(cc1)C(=O)[O-],
ZUDQUM,,CN(C)C=O,O,,,,0.26,0.74,,,,,,,,,80,48,Mn,CH3COO,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
AQIXUV,48.0,CN(C)C=O,O,,,,0.319,0.681,,,,,,,,,80,72,Ni,NO3,,,[O-]C(=O)c1ccc(cc1)OCc1c(C)c(COc2ccc(cc2)C(=O)[O-])c(c(c1C)COc1ccc(cc1)C(=O)O)C,n1ccc(cc1)C=Cc1ccncc1
BUSRUE,88.0,CN(C)C=O,,,,,1.0,,,,,,,,,,80,72,Cd,NO3,,,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
CUYQIX,39.0,O,,,,,1.0,,,,,,,,,,80,72,Zn,SO4,,,[O-]C(=O)C(CC(=O)[O-])CC(=O)[O-],n1ccc(cc1)CN1CCN(CC1)Cc1ccncc1
EJOQOL,55.0,CN(C)C=O,O,,,,0.072,0.928,,,,,,,,,80,72,"Cu,K",Cl,,,[O-]C(=O)c1c(cccc1C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
GOVWOF,45.0,CCN(CC)C=O,,,,,1.0,,,,,,,,,,80,72,Mn,Cl,,,[O-]C(=O)c1cc(OCc2c(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])c(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])c(c(c2COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
HAJDII,,CN(C)C=O,O,,,,0.19,0.81,,,,,,,,,80,72,Tb,NO3,,,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],
HOVQAM,33.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,80,72,Co,ClO4,,,,
HUCFAO,36.0,O,CC(=O)N(C)C,CO,,,0.61,0.119,0.271,,,,,,,,80,72,Mn,OAc,,,[O-]C(=O)CCn1c(=O)n(CCC(=O)[O-])c(=O)n(c1=O)CCC(=O)[O-],[O-]C(=O)CCn1c(=O)n(C[CH]C(=O)[O-])c(=O)n(c1=O)C[CH]C(=O)[O-]
ILAGUY,67.0,O,,,,,1.0,,,,,,,,,,80,72,Cd,ClO4,,,,
IVARUT,36.0,O,,,,,1.0,,,,,,,,,,80,72,Cd,Cl,,,[O-]C(=O)CCc1ccc(cc1)CCC(=O)[O-],n1ccc(cc1)CN1CCN(CC1)Cc1ccncc1
KEWBUL,72.0,CN(C)C=O,CCO,O,,,0.419,0.222,0.358,,,,,,,,80,72,Eu,NO3,,,[O-]C(=O)c1ccc2-c3c(C(c2c1)(C)C)cc(cc3)C(=O)[O-],
LAWHOJ,72.0,CN(C)C=O,O,CCO,,,0.054,0.931,0.014,,,,,,,,80,72,Cd,Cl,,,[O-]C(=O)c1ccc(c2c1nsn2)C(=O)[O-],
LIDSIC,,CN(C)C=O,CCO,O,,,0.193,0.256,0.551,,,,,,,,80,72,Co,NO3,,,,
MATPOP,50.0,O,CC(=O)N(C)C,,,,0.562,0.438,,,,,,,,,80,72,"Tb,Zn",ClO4,Cl,,[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-],
MATPUV,50.0,O,CC(=O)N(C)C,,,,0.562,0.438,,,,,,,,,80,72,"Tb,Co",ClO4,Cl,,[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-],
MOTVOI,74.0,CN(C)C=O,CCO,CC#N,O,,0.373,0.198,0.111,0.319,,,,,,,80,72,Eu,NO3,,,[O-]C(=O)c1ccc2-c3c(C(c2c1)(C)O)cc(cc3)C(=O)[O-],
NAHHOW,56.0,CN(C)C=O,CC#N,O,,,0.581,0.287,0.132,,,Cl,,,,,80,72,Cu,NO3,,,,
SUKKUG,53.0,CN(C)C=O,CC#N,O,,,0.581,0.287,0.132,,,Cl,,,,,80,72,Cu,Cl,,,,
USORUR,82.0,CCN(CC)C=O,O,,,,0.494,0.506,,,,,,,,,80,72,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)Oc1cc(cc(c1)Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-],
VEZWEE,20.0,CO,O,,,,0.471,0.529,,,,,,,,,80,72,Mn,ClO4,,,[N][N][N],[O-]C(=O)C1=C[CH]N(C=C1)CCCCN1[CH]C=C(C=C1)C(=O)[O-]
VOGPEO,,CN(C)C=O,O,,,,0.678,0.322,,,,[N+](=O)(O)[O-],,,,,80,72,Cu,NO3,,,[O-]C(=O)[C]1C2C3C2([CH]C2(C1C2[C]3C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],[O-]C(=O)c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
VOQXIK,,CCO,CN1CCCC1=O,,,,0.355,0.645,,,,,,,,,80,72,Li,OH,,,,
ZUDQEW,,CN(C)C=O,O,,,,0.26,0.74,,,,,,,,,80,72,Cd,NO3,,,C1CN2CCN1CC2,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
ZUDRAT,,CN(C)C=O,O,,,,0.26,0.74,,,,,,,,,80,72,Mn,CH3COO,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
NAWDUN,70.0,CN(C)C=O,CCO,O,,,0.349,0.154,0.497,,,Cl,,,,,80,96,Cu,NO3,,,CCC(CC1(CC(CC)C)c2cc(ccc2-c2c1cc(cc2)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C,CCC(CC1(CC(CC)[C])c2cc(ccc2-c2c1cc(cc2)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C
DIMQIB,,CN(C)C=O,CC#N,,,,0.669,0.331,,,,,,,,,80,120,Co,NO3,,,,
AVAQIX,43.0,CN(C)C=O,,,,,1.0,,,,,,,,,,80,504,Cd,NO3,,,[O-]C(=O)c1ccncc1,
ADASOP,,CN(C)C=O,CN1CCCC1=O,,,,0.555,0.445,,,,,,,,,85,12,Zn,NO3,,,[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
ADATIK,,CN(C)C=O,,,,,1.0,,,,,,,,,,85,12,Cu,NO3,,,O=C(c1ccc(cc1)C1=NN=N[N]1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],O=C(c1ccc(cc1)C1=N[N]N=N1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
RIDCEN,72.0,CN(C)C=O,CC#N,,,,0.574,0.426,,,,[N+](=O)(O)[O-],,,,,85,12,In,NO3,,,[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
RUVKAV,64.0,CN(C)C=O,CCO,O,,,0.263,0.174,0.562,,,[N+](=O)(O)[O-],,,,,85,12,Cu,NO3,,,[O-]C(=O)c1cc(C#CC#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
ZOGBAA,,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,85,12,In,NO3,,,,
WIJXIY,,CCN(CC)C=O,,,,,1.0,,,,,,,,,,85,16,Zn,NO3,,,[O-]C(=O)c1ccc2c(c1)[nH]c1c2ccc(c1)C(=O)[O-],
EYACOX,,CN(C)C=O,CO,,,,0.678,0.322,,,,[N+](=O)(O)[O-],,,,,85,17,Eu,NO3,,,[O-]C(=O)c1cc(C#CC#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
AROFAP,81.0,CN(C)C=O,O,,,,0.319,0.681,,,,,,,,,85,24,Cd,NO3,,,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],
DOZKIO,80.0,CN(C)C=O,O,,,,0.626,0.374,,,,[N+](=O)(O)[O-],,,,,85,24,Eu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
EXAXAE,,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,85,24,Cu,I,,,[O-]C(=O)c1cncc(c1)C(=O)[O-],
OVEDAW,,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,85,24,Cu,I,,,,
QIPROY,75.0,O,CC#N,,,,0.742,0.258,,,,,,,,,85,24,Cu,OAc,,,c1ccc(cn1)OCC(COc1cccnc1)(COc1cccnc1)COc1cccnc1,
YUMFUJ,,CS(=O)C,O,,,,0.277,0.723,,,,,,,,,85,24,La,NO3,,,[O-]C(=O)C1=[C][C]=C([C]=[C]1)C1=[C][C]=C([C]=[C]1)C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-],
ADARAA,70.0,CN(C)C=O,CCO,O,,,0.248,0.329,0.424,,,,,,,,85,48,Co,NO3,,,[O-]C(=O)c1cc(cc(c1)C1=C2C=CC3=[N]2[Co]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2c(Br)cccc2Br)cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1c(Br)cccc1Br)C(=O)[O-],
BAZFUF,33.0,CN(C)C=O,CN1CCCC1=O,C1=CC=NC=C1,,,0.532,0.427,0.041,,,,,,,,85,48,Cu,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
BAZGAM,77.0,CN(C)C=O,CN1CCCC1=O,C1=CC=NC=C1,,,0.532,0.427,0.041,,,,,,,,85,48,Cu,NO3,,,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-],
BAZGEQ,26.0,CN(C)C=O,CN1CCCC1=O,,,,0.555,0.445,,,,,,,,,85,48,Cu,NO3,,,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-],
CEJBEA,,CN(C)C=O,O,CCO,,,0.393,0.503,0.104,,,,,,,,85,48,Dy,NO3,,,[O-]C(=O)c1cccc(c1)C(=O)[O-],
FAGQAI,7.5,CN(C)C=O,,,,,1.0,,,,,,,,,,85,48,Cu,NO3,,,[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-],
FIHHUB,15.0,CN(C)C=O,CCO,,,,0.751,0.249,,,,[N+](=O)(O)[O-],,,,,85,48,Cd,NO3,,,,
KUHNEI,31.0,CC(=O)N(C)C,O,,,,0.226,0.774,,,,,,,,,85,48,Co,NO3,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
UMAROR,36.0,CN(C)C=O,,,,,1.0,,,,,,,,,,85,48,Ag,NO3,,,[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(cc1c1ccc(cc1)C(=O)[O-])C(=O)[O-],
WISVEB,,O,CC(=O)N(C)C,,,,0.562,0.438,,,,[N+](=O)(O)[O-],,,,,85,48,Cd,NO3,,,[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
AROFET,52.0,CN(C)C=O,,,,,1.0,,,,,,,,,,85,72,Cd,NO3,,,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],
ECOLEP,40.2,CC(=O)N(C)C,CO,,,,0.305,0.695,,,,,,,,,85,72,Co,Ac,,,N1=NN=C([N]1)c1cc(cc(c1)C1=NN=N[N]1)C1=NN=N[N]1,
FIPKOG,,CN(C)C=O,O,,,,0.384,0.616,,,,[N+](=O)(O)[O-],,,,,85,72,Cd,Cl,,,O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
NAJQUN,40.0,CN(C)C=O,O,,,,0.072,0.928,,,,,,,,,85,72,Mn,OAc,,,[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(cc1C(=O)[O-])c1ccc(cc1)C(=O)[O-],
NATFAS,40.0,O,CN(C)C=O,CCO,,,0.479,0.224,0.297,,,,,,,,85,72,Zn,OAc,,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
VIXTUT,23.0,CN(C)C=O,,,,,1.0,,,,,,,,,,85,72,Zn,NO3,,,[O-]C(=O)CCC(=O)[O-],n1ccc(cc1)CCc1ccncc1
WIPLOY,47.0,CN(C)C=O,O,,,,0.072,0.928,,,,,,,,,85,72,Eu,SO4,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
WOPHIU,40.1,O,CN(C)C=O,,,,0.895,0.105,,,,,,,,,85,72,Zn,NO3,,,Nn1c(nnc1c1ccncc1)c1ccncc1,[O-]C(=O)c1cc(OCc2cccc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]
WOPHIU,49.0,O,CN(C)C=O,,,,0.955,0.045,,,,,,,,,85,72,Zn,NO3,,,Nn1c(nnc1c1ccncc1)c1ccncc1,[O-]C(=O)c1cc(OCc2cccc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]
YICGOI,56.0,CN(C)C=O,CC#N,O,,,0.06,0.177,0.764,,,,,,,,85,72,Co,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],n1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1
KIKFIV,36.0,CN(C)C=O,O,,,,0.319,0.681,,,,[N+](=O)(O)[O-],,,,,85,96,Eu,NO3,,,[O-]C(=O)c1ccc(cc1)C#Cc1c2ccccc2c(c2c1cccc2)C#Cc1ccc(cc1)C(=O)[O-],
