CMPD_CHEMBLID,exp,smiles,inchi,selfies,exp_cat
CHEMBL578201,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,"InChI=1S/C17H17FN8/c1-9-6-15(26-25-9)23-16-11(3)21-14(7-19)17(24-16)22-10(2)13-5-4-12(18)8-20-13/h4-6,8,10H,1-3H3,(H3,22,23,24,25,26)/t10-/m0/s1",[C][C@H1][Branch2][Ring1][N][N][C][=N][C][Branch1][N][N][C][C][=C][Branch1][C][C][NH1][N][=Ring1][=Branch1][=C][Branch1][C][C][N][=C][Ring1][=C][C][#N][C][=C][C][=C][Branch1][C][F][C][=N][Ring1][#Branch1],large
CHEMBL276218,-0.08,O=C1CCCCCN1,"InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)",[O][=C][C][C][C][C][C][N][Ring1][#Branch1],small
CHEMBL2153181,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,"InChI=1S/C18H21N3OS/c1-2-13-23-17-15(5-3-9-20-17)18(22)21-12-4-6-16(21)14-7-10-19-11-8-14/h3,5,7-11,16H,2,4,6,12-13H2,1H3",[C][C][C][S][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1],medium
CHEMBL1916276,1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,"InChI=1S/C24H28N4O3S/c1-17-12-14-20(15-13-17)32(30,31)27-23-21(16-25-28(23)19-9-4-3-5-10-19)24(29)26-22-11-7-6-8-18(22)2/h3-5,9-10,12-16,18,22,27H,6-8,11H2,1-2H3,(H,26,29)",[C][C][C][C][C][C][C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][=N][N][Branch2][Ring1][#Branch1][C][=Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],medium
CHEMBL93884,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,"InChI=1S/C13H10N2OS/c14-9-3-1-8(2-4-9)13-15-11-6-5-10(16)7-12(11)17-13/h1-7,16H,14H2",[N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][S][Ring1][#Branch2],large
CHEMBL2171986,1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,"InChI=1S/C21H28N4O3/c1-28-17-8-6-16(7-9-17)24-12-14-25(15-13-24)21(27)19-5-3-2-4-18(19)20(26)23-11-10-22/h6-9,18-19H,2-5,11-15H2,1H3,(H,23,26)/t18-,19-/m1/s1",[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][#N],medium
CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,"InChI=1S/C22H29NO5/c1-7-22(23(2)3,17-11-9-8-10-12-17)15-28-21(24)16-13-18(25-4)20(27-6)19(14-16)26-5/h8-14H,7,15H2,1-6H3",[C][C][C][Branch2][Ring1][O][C][O][C][=Branch1][C][=O][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
CHEMBL469790,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,"InChI=1S/C22H19ClN4O3S/c1-30-19-10-15(6-7-18(19)26-9-8-16(28)12-26)27-22(29)21-17(24-25-27)11-20(31-21)13-2-4-14(23)5-3-13/h2-7,10-11,16,28H,8-9,12H2,1H3/t16-/m1/s1",[C][O][C][=C][C][=Branch1][S][=C][C][=C][Ring1][=Branch1][N][C][C][C@@H1][Branch1][C][O][C][Ring1][=Branch1][N][N][=N][C][C][=C][Branch1][=Branch2][S][C][=Ring1][Branch1][C][Ring1][=Branch2][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],large
CHEMBL2165055,0.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,"InChI=1S/C26H28N6O4/c1-35-23-15-31(10-11-32-21-12-17(13-27)2-3-18(21)4-7-25(32)34)9-8-20(23)28-14-19-5-6-22-26(29-19)30-24(33)16-36-22/h2-7,12,20,23,28H,8-11,14-16H2,1H3,(H,29,30,33)/t20-,23+/m1/s1",[C][O][C@H1][C][N][Branch2][Ring1][Branch2][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][O][Ring1][=Branch1][C][#N][C][C][C@H1][Ring2][Ring1][Branch1][N][C][C][=C][C][=C][O][C][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=N][Ring1][O],small
CHEMBL322479,2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,"InChI=1S/C25H34N2O3S/c1-25(2,15-7-4-8-17-30-18-14-19-9-5-3-6-10-19)26-16-13-20-11-12-21(28)22-23(20)31-24(29)27-22/h3,5-6,9-12,26,28H,4,7-8,13-18H2,1-2H3,(H,27,29)",[C][C][Branch1][C][C][Branch1][P][C][C][C][C][C][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][=C][C][=C][Branch1][C][O][C][N][=C][Branch1][C][O][S][C][Ring1][O][=Ring1][=Branch1],large
CHEMBL2036736,1.92,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,"InChI=1S/C20H18ClN5O4/c21-14-3-1-13(2-4-14)17(27)23-20-25-24-19(30-20)18(28)22-15-5-7-16(8-6-15)26-9-11-29-12-10-26/h1-8H,9-12H2,(H,22,28)(H,23,25,27)",[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][O][C][=Branch1][Branch1][=N][N][=Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1],medium
CHEMBL2179291,3.17,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,"InChI=1S/C24H27N3O4/c1-17-14-27(24(29)25-23(17)28)19-6-4-12-26(16-19)15-18-5-3-7-22(13-18)31-21-10-8-20(30-2)9-11-21/h3,5,7-11,13-14,19H,4,6,12,15-16H2,1-2H3,(H,25,28,29)",[C][O][C][=C][C][=C][Branch2][Ring2][Branch2][O][C][=C][C][=C][C][Branch2][Ring1][O][C][N][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][N][C][=C][Branch1][C][C][C][=Branch1][C][=O][N][C][Ring1][Branch2][=O][=C][Ring2][Ring1][=Branch1][C][=C][Ring2][Ring1][=N],large
CHEMBL2158823,2.17,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,"InChI=1S/C24H28Cl2N2O3/c25-22-5-4-21(15-23(22)26)31-20-8-10-27(11-9-20)16-17-6-12-28(13-7-17)19-3-1-2-18(14-19)24(29)30/h1-5,14-15,17,20H,6-13,16H2,(H,29,30)",[O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][C][C][Branch2][Ring1][O][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][C][C][Ring2][Ring1][=Branch1],large
CHEMBL641,1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,"InChI=1S/C17H21NO/c1-14-8-6-7-11-16(14)19-17(12-13-18-2)15-9-4-3-5-10-15/h3-11,17-18H,12-13H2,1-2H3/t17-/m1/s1",[C][N][C][C][C@@H1][Branch1][O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],medium
CHEMBL1289785,3.93,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,"InChI=1S/C19H21Cl2N3O/c20-16-4-5-18(17(21)14-16)23-10-12-24(13-11-23)19(25)3-1-2-15-6-8-22-9-7-15/h4-9,14H,1-3,10-13H2",[Cl][C][=C][C][=C][Branch2][Ring1][#Branch2][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][Branch1][C][Cl][=C][Ring2][Ring1][Branch2],very large
CHEMBL1381135,1.9,COc1cnc(nc1N(C)C)c2ccccn2,"InChI=1S/C12H14N4O/c1-16(2)12-10(17-3)8-14-11(15-12)9-6-4-5-7-13-9/h4-8H,1-3H3",[C][O][C][=C][N][=C][Branch1][#Branch2][N][=C][Ring1][=Branch1][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1],medium
CHEMBL528217,2.27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,"InChI=1S/C38H38N4/c1(3-15-25-39-37-27-35(29-17-7-5-8-18-29)41-33-23-13-11-21-31(33)37)2-4-16-26-40-38-28-36(30-19-9-6-10-20-30)42-34-24-14-12-22-32(34)38/h5-14,17-24,27-28H,1-4,15-16,25-26H2,(H,39,41)(H,40,42)",[C][Branch2][Ring1][=C][C][C][C][C][N][C][=C][C][=Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][N][C][=C][C][=Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],large
CHEMBL2177621,1.2,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,"InChI=1S/C22H25N3O3S/c1-29-21-18(11-23-25(21)17-4-2-14(3-5-17)22(27)28)20(26)24-19-15-7-12-6-13(9-15)10-16(19)8-12/h2-5,11-13,15-16,19H,6-10H2,1H3,(H,24,26)(H,27,28)",[C][S][C][=C][Branch2][Ring1][Branch1][C][=N][N][Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][N][C][C][C][C][C][C][Branch1][Branch2][C][C][Ring1][Branch2][C][Ring1][=Branch1][C][Ring1][=Branch2],medium
CHEMBL475386,1.14,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,"InChI=1S/C16H13N5OS/c1-17-15-13(11-5-3-9-23-11)20-12(16-19-7-8-22-16)10-4-2-6-18-14(10)21-15/h2-9,13H,1H3,(H,17,18,21)",[C][N][C][=N][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][N][=N][C][Ring1][O][C][=C][C][=C][S][Ring1][Branch1][C][O][C][=C][N][=Ring1][Branch1],medium
CHEMBL2325699,2.6,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,"InChI=1S/C22H24N4O3S/c1-30(27,28)22(8-9-22)19-11-20(26-12-14-5-6-15(13-26)29-14)25-21(24-19)17-3-2-4-18-16(17)7-10-23-18/h2-4,7,10-11,14-15,23H,5-6,8-9,12-13H2,1H3",[C][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][Branch1][C][C][Ring1][Ring1][C][=C][C][=Branch2][Ring1][Branch1][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][C][=C][C][NH1][C][=C][C][Ring1][=Branch2][=Ring1][Branch1][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][O][Ring1][=Branch1],large
CHEMBL2010845,3.3,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,"InChI=1S/C23H24F4N6O/c1-31(22(34)12-16-4-8-19(9-5-16)33-15-28-29-30-33)21-10-11-32(14-20(21)24)13-17-2-6-18(7-3-17)23(25,26)27/h2-9,15,20-21H,10-14H2,1H3/t20-,21+/m0/s1",[C][N][Branch2][Ring1][S][C@@H1][C][C][N][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][C@@H1][Ring1][P][F][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=N][N][=N][Ring1][Branch1],large
CHEMBL103,3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",[C][C][=Branch1][C][=O][C@H1][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][N][C][C][C@][Ring2][Ring1][Ring1][Ring1][S][C],very large
CHEMBL2208428,2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,"InChI=1S/C22H26Cl2N2O5S/c1-32(29,30)21-5-3-2-4-18(21)22(28)25-13-15(27)14-26-10-8-16(9-11-26)31-17-6-7-19(23)20(24)12-17/h2-7,12,15-16,27H,8-11,13-14H2,1H3,(H,25,28)/t15-/m1/s1",[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C@@H1][Branch1][C][O][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2],large
CHEMBL1796293,2.57,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,"InChI=1S/C20H15N3O2/c21-13-17-3-1-2-4-19(17)25-18-7-5-16(6-8-18)20(24)23-14-15-9-11-22-12-10-15/h1-12H,14H2,(H,23,24)",[O][=C][Branch1][O][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][N][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][#N][C][=C][Ring1][#C],large
CHEMBL1557436,3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,"InChI=1S/C17H18N4OS/c1-21(2)12-8-9-19-17-13(12)14(18)15(23-17)16(22)20-10-11-6-4-3-5-7-11/h3-9H,10,18H2,1-2H3,(H,20,22)",[C][N][Branch1][C][C][C][=C][C][=N][C][S][C][Branch1][#C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][C][N][C][Ring2][Ring1][Ring2][=Ring1][S],very large
CHEMBL2031236,2.06,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,"InChI=1S/C24H24N6O2S/c1-16-3-4-17(27-23(31)21-13-33-15-26-21)11-22(16)30-14-25-20-6-5-18(12-19(20)24(30)32)29-9-7-28(2)8-10-29/h3-6,11-15H,7-10H2,1-2H3,(H,27,31)",[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][C][=C][N][=C][N][Branch1][O][C][=Branch1][C][=O][C][Ring1][#Branch1][=C][Ring1][O][C][=C][C][Branch1][=N][N][C][=Branch1][C][=O][C][=C][S][C][=N][Ring1][Branch1][=C][C][=C][Ring1][=C][C],medium
CHEMBL2087849,4.33,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,"InChI=1S/C27H26ClN7O2/c1-32-15-29-11-22(32)24-23-25(31-35(24)14-18-8-9-30-21-7-6-19(28)10-20(18)21)33(12-16-2-3-16)27(37)34(26(23)36)13-17-4-5-17/h6-11,15-17H,2-5,12-14H2,1H3",[C][N][C][=N][C][=C][Ring1][Branch1][C][=C][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][Ring1][S][=N][N][Ring2][Ring1][Ring1][C][C][=C][C][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][O][Ring1][#Branch1],very large
CHEMBL1235773,2.55,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,"InChI=1S/C25H27N5O2S/c1-31-20-2-3-23-22(11-20)21(17(12-26)13-29-23)6-9-30-7-4-18(5-8-30)27-14-19-10-25-24(15-28-19)32-16-33-25/h2-3,10-11,13,15,18,27H,4-9,14,16H2,1H3",[C][O][C][=C][C][=C][N][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring1][N][C][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][N][C][C][=C][C][S][C][O][C][=Ring1][Branch1][C][=N][Ring1][=Branch2][C][Ring2][Ring1][O][=C][Ring2][Ring1][#C],large
CHEMBL339051,2.78,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,"InChI=1S/C36H41Cl2N5O4/c1-40-35(46)36(43-16-7-6-10-31(43)44)14-18-42(19-15-36)17-13-26(24-11-12-29(37)30(38)21-24)23-41(2)34(45)32-28-9-5-4-8-25(28)20-27(22-39)33(32)47-3/h4-5,8-9,11-12,20-21,26H,6-7,10,13-19,23H2,1-3H3,(H,40,46)/t26-/m1/s1",[C][N][C][=Branch1][C][=O][C][Branch2][Branch1][#C][C][C][N][Branch2][Branch1][Ring2][C][C][C@H1][Branch2][Ring1][S][C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][Branch1][Ring1][O][C][C][=Branch1][N][=C][C][=C][C][=C][C][=C][Ring1][N][Ring1][=Branch1][C][#N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][C][C][Ring2][Ring2][Ring2][N][C][C][C][C][C][Ring1][=Branch1][=O],large
CHEMBL168899,1.4,OB1N(C(=O)Nc2ccccc12)c3ccccc3,"InChI=1S/C13H11BN2O2/c17-13-15-12-9-5-4-8-11(12)14(18)16(13)10-6-2-1-3-7-10/h1-9,18H,(H,15,17)",[O][B][N][Branch1][S][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],medium
CHEMBL517,-0.54,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,"InChI=1S/C21H29N3O/c1-16(2)24(17(3)4)15-13-21(20(22)25,18-10-6-5-7-11-18)19-12-8-9-14-23-19/h5-12,14,16-17H,13,15H2,1-4H3,(H2,22,25)",[C][C][Branch1][C][C][N][Branch2][Ring1][=N][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][C][C],very small
CHEMBL578288,2.91,NC(=NC#N)c1sc(Nc2ccccc2)nc1N,"InChI=1S/C11H10N6S/c12-6-15-9(13)8-10(14)17-11(18-8)16-7-4-2-1-3-5-7/h1-5H,14H2,(H2,13,15)(H,16,17)",[N][C][=Branch1][Ring2][=N][C][#N][C][S][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][=Ring1][N][N],large
