common name,activated formula unita,confidence,stability,normalized_names
ZnPO3 (292),(C6H14N)2Zn3(HPO3)4,high,high,Zn2(Cyclohexylammonium)-tetrakis(μ3-phosphito)
CAU-10-CH3 (59),Al(OH)(ISO-CH3),medium,high,Al(OH)(isophthalate-CH3)
CAU-10-H (59),Al(OH)(ISO-H),medium,high,Al(OH)(isophthalate-H)
CAU-10-NH2 (59),Al(OH)(ISO-NH2),medium,high,Al(OH)(isophthalate-NH2)
CAU-10-NO2 (59),Al(OH)(ISO-NO2),medium,high,Al(OH)(isophthalate-NO2)
CAU-10–OCH3 (59),Al(OH)(ISO-OCH3),medium,high,Al(OH)(isophthalate-OCH3)
CAU-10-OH (59),Al(OH)(ISO-OH),medium,high,Al(OH)(isophthalate-OH)
CdZrSr (292),CdZrSr(C2O4)4,medium,high,CdZrSr(oxalate)4
Co-NIC (293),Co2(NIC)4(μ-H2O),medium,high,Co2(Pyridine-3-carboxylate)4(μ-H2O)
Cu-PCN (293),Cu2(PCN)2(H2O)2,medium,high,Cu2(PCN)2(H2O)2
Eu-Cu (292),EuCu(NIC)2(C2O4),medium,high,EuCu(Pyridine-3-carboxylate)2(oxalate)
La-Cu (292),LnCu (NIC)2(C2O4),medium,high,LnCu (Pyridine-3-carboxylate)2(oxalate)
MIL-53-F(Al) (312),Al(OH)(BDC-F),medium,high,"Al(OH)(1,4-benzenedicarboxylate-F)"
N/A (54),"Al(OH)(1,4-NDC)",medium,high,"Al(OH)(1,4-napthalenedicarboxylate)"
Ni-HF (293),Ni2(HFPDPT)-(BPY)2(H2O)2](H2O)8,medium,high,"Ni2(HFPDPT)-(4,4′-bipyridine)2(H2O)2](H2O)8"
"UiO-66-Br (42, 311)",Zr6O6(BDC-Br)12,medium,high,"Zr6O6(1,4-benzenedicarboxylate-Br)12"
"UiO-67 (98, 101, 283, 310)",Zr6O6(BPDC)12,medium,high,"Zr6O6(4,4′-biphenyldicarboxylate)12"
UTSA-16 (313),[KCo3(C6H4O7)(C6H5O7)(H2O)28H2O]8,medium,high,"[KCo3(2-oxidopropane-1,2,3-tricarboxylate)(2-hydroxypropane-1,2,3-tricarboxylate)(H2O)28H2O]8"
ZIF-7 (293),Zn(PhIM)2,medium,high,Zn(phenyl benzimidazolate)2
ZIF-90 (293),Zn(ICA)2,medium,high,Zn(ICA)2
Zn-TTC (293),Zn3(TTC)(OH)2(H2O),medium,high,"Zn3(2,3,5-Triphenyltetrazolium chloride)(OH)2(H2O)"
Zn/Co-BTEC (293),ZnCo(BTEC),medium,high,"ZnCo(1,2,4,5-benzenetetracarboxylic acid)"
Zr-DMBDC (162),Zr6O6(DMBDC)12,medium,high,"Zr6O6(DM1,4-benzenedicarboxylate)12"
AlaZnCl (85),Zn(Ala)(Cl),low,high,Zn(2-Aminopropanoate)(Cl)
AlaZnOAc (85),Zn(Ala)(OAc),low,high,Zn(2-Aminopropanoate)(OAc)
Bio-MOF-13 (95),Co2(AD)2(C3H7CO2)2,low,high,Co2(9H-purin-6-amine)2(C3H7CO2)2
CUK-1 (314),"Co3(2,4-PDC)2(μ-OH)2",low,high,"Co3(2,4-pyridine-2,4-dicarboxylate)2(μ-OH)2"
DUT-67(Hf) (56),Hf6O6(OH)2(TDC)4,low,high,"Hf6O6(OH)2(2,5-thiophenedicarboxylate)4"
DUT-68(Hf) (56),Hf6O6(OH)2(TDC)4.5,low,high,"Hf6O6(OH)2(2,5-thiophenedicarboxylate)4.5"
DUT-68(Zr) (56),Zr6O6(OH)2(TDC)4.5,low,high,"Zr6O6(OH)2(2,5-thiophenedicarboxylate)4.5"
DUT-69(Zr) (56),Zr6O4(OH)4(TDC)5,low,high,"Zr6O4(OH)4(2,5-thiophenedicarboxylate)5"
MIL-140 A (101),ZrO(BDC),low,high,"ZrO(1,4-benzenedicarboxylate)"
MIL-140 B (101),"ZrO(2,6-NDC)",low,high,"ZrO(2,6-napthalenedicarboxylate)"
MIL-140 C (101),ZrO(BPDC),low,high,"ZrO(4,4′-biphenyldicarboxylate)"
MIL-140 D (101),ZrO(ABDC-Cl2),low,high,"ZrO(4,4′-azobenzenedicarboxylate-Cl2)"
MOFF-2 (84),Cu(L11)(DABCO)0.5,low,high,Cu(2-((pyridin-4-yl)methylamino)-4-methylpentanoate1)(4-diazabicyclo[2.2.2]-octane)0.5
MOOFOUR-1-Ni (315),Ni-(BPE)2(MoO4),low,high,"Ni-(1,2-bis(4-pyridyl)ethane)2(MoO4)"
N/A (316),Zn6(IDC)4(OH)2(HPRZ)2,low,high,"Zn6(imidazole-4,5-dicarboxylate)4(OH)2(Hpiperazine)2"
N/A (317),"Cd(2,6-NDC)0.5(PCA)",low,high,"Cd(2,6-napthalenedicarboxylate)0.5(PCA)"
N/A (309),"Zn2(2,6-NDC)2(2,2′-dimethyl-BPY)",low,high,"Zn2(2,6-napthalenedicarboxylate)2(2,2′-dimethyl-4,4′-bipyridine)"
N/A (83),Cd(L1)(Cl)(H2O),low,high,Cd(2-((pyridin-4-yl)methylamino)-4-methylpentanoate)(Cl)(H2O)
N/A (83),Cd(L2)(Cl)(H2O),low,high,Cd(2-(pyridin-4-yl)methylamino)-3-hydroxypropanoate)(Cl)(H2O)
N/A (83),Cd2(L2)2(Br)2(H2O)3,low,high,Cd2(2-(pyridin-4-yl)methylamino)-3-hydroxypropanoate)2(Br)2(H2O)3
N/A (83),Cd(L3)(Cl)(H2O)2,low,high,Cd(2-((pyridin-4-yl)methylamino)-3-hydroxybutanoate)(Cl)(H2O)2
N/A (81),Zn2L4,low,high,"Zn24,4′-bipyridine-2,6,2′,6′-tetracarboxylate"
N/A (318),Ni(HPTZ)2,low,high,"Ni(4-(1,2,4-triazol-4-yl)phenylphosphonate))2"
N/A (319),Zn4O(BFBPDC)3(BPY)0.5(H2O),low,high,"Zn4O(2,2′-bis-trifluoromethyl-biphenyl-4,4′-dicarboxylate)3(4,4′-bipyridine)0.5(H2O)"
N/A (79),Ni(L13)2,low,high,Ni(2-((pyridin-4-yl)methylamino)-4-methylpentanoate3)2
N/A (79),Co(L13)2,low,high,Co(2-((pyridin-4-yl)methylamino)-4-methylpentanoate3)2
N/A (320),Ni2(C2O4)(L16)2,low,high,Ni2(oxalate)(2-((pyridin-4-yl)methylamino)-4-methylpentanoate6)2
N/A (276),"Zn3(BPDC)3(2,2′-dimethyl-BPY)",low,high,"Zn3(4,4′-biphenyldicarboxylate)3(2,2′-dimethyl-4,4′-bipyridine)"
NU-1000-SALI-1 (104),Zr6(μ-OH)8(OH)8(TBAPY)2-CF3CO2,low,high,"Zr6(μ-OH)8(OH)8(1,3,6,8-tetrakis(p-benzoate)pyrene)2-CF3CO2"
NU-1000-SALI-3 (104),Zr6(μ3-OH)8(OH)8(TBAPY)2-CF3(CF2)2CO2,low,high,"Zr6(μ3-OH)8(OH)8(1,3,6,8-tetrakis(p-benzoate)pyrene)2-CF3(CF2)2CO2"
NU-1000-SALI-7 (104),Zr6(μ3-OH)8(OH)8(TBAPY)2-CF3(CF2)6CO2,low,high,"Zr6(μ3-OH)8(OH)8(1,3,6,8-tetrakis(p-benzoate)pyrene)2-CF3(CF2)6CO2"
NU-1000-SALI-9 (104),Zr6(μ3-OH)8(OH)8(TBAPY)2-CF3(CF2)8CO2,low,high,"Zr6(μ3-OH)8(OH)8(1,3,6,8-tetrakis(p-benzoate)pyrene)2-CF3(CF2)8CO2"
PCN-56 (263),Zr3O2(OH)2(TPDC-(CH3)2)3,low,high,"Zr3O2(OH)2(Tpyridine-2,4-dicarboxylate-(CH3)2)3"
PCN-57 (263),Zr3O2(OH)2(TPDC-(CH3)4)3,low,high,"Zr3O2(OH)2(Tpyridine-2,4-dicarboxylate-(CH3)4)3"
PCN-58 (263),Zr3O2(OH)2(TPDC-(CH2N3)4)3,low,high,"Zr3O2(OH)2(Tpyridine-2,4-dicarboxylate-(CH2N3)4)3"
SIFSIX-2-Cu-i (134),Cu(DPA)2(SiF6),low,high,"Cu(4,4′-dipyridylacetylene)2(SiF6)"
Tb-FTZB-MOF (321),((CH3)2NH2)2Tb6(μ3-OH)8(FTZB)6(H2O)6,low,high,((CH3)2NH2)2Tb6(μ3-OH)8(3-fluoro-4′-(2H-tetrazol-5-yl)biphenyl-4-carboxylate)6(H2O)6
"UiO-1,4-NDC (97)","Zr6O6(1,4-NDC)12",low,high,"Zr6O6(1,4-napthalenedicarboxylate)12"
"UiO-2,6-NDC (101, 103)","Zr6O6(2,6-NDC)12",low,high,"Zr6O6(2,6-napthalenedicarboxylate)12"
UiO-66-(CO2H)2 (322),Zr6O6(BDC-(CO2H)2)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-(CO2H)2)12"
UiO-66-(OMe)2 (97),Zr6O6(BDC-(OMe)2)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-(OMe)2)12"
UiO-66-Br2 (322),Zr6O6(BDC-Br2)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-Br2)12"
UiO-66-CF3 (322),Zr6O6(BDC-CF3)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-CF3)12"
UiO-66-Cl2 (322),Zr6O6(BDC-Cl2)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-Cl2)12"
UiO-66-CO2H (323),Zr6O6(BDC-CO2H)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-CO2H)12"
UiO-66-DM (100),Zr6O6(BDC-(CH3)2)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-(CH3)2)12"
UiO-66-I (323),Zr6O6(BDC-I)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-I)12"
"UiO-66-NO2 (97, 311)",Zr6O6(BDC-NO2)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-NO2)12"
UiO-66-SO3H (323),Zr6O6(BDC-SO3H)12,low,high,"Zr6O6(1,4-benzenedicarboxylate-SO3H)12"
UMCM-150 (63),Cu3(BHTC),low,high,"Cu3(biphenyl-3,4′,5-tricarboxylate)"
ValZnCl (85),Zn(VAL)(Cl),low,high,Zn(2-Amino-3-methylbutanoic acid)(Cl)
ValZnFor (85),Zn(VAL)(FOR),low,high,Zn(2-Amino-3-methylbutanoic acid)(formate)
Y-FTZB-MOF (321),(CH3)2NH2][Y6(μ3-OH)8(FTZB)6(H2O)6,low,high,(CH3)2NH2][Y6(μ3-OH)8(3-fluoro-4′-(2H-tetrazol-5-yl)biphenyl-4-carboxylate)6(H2O)6
ZIF-11 (105),Zn(PhIM)2,low,high,Zn(phenyl benzimidazolate)2
Zn-DMOF(NO2)2 (74),Zn2(BDC-(NO2)2)2(DABCO),low,high,"Zn2(1,4-benzenedicarboxylate-(NO2)2)2(4-diazabicyclo[2.2.2]-octane)"
Zn(NDI-H) (96),Zn(NDI-H),low,high,"Zn(1,4,5,8-Naphthalenediimid)"
Zr-fum (324),Zr6O6(FUM)12,low,high,Zr6O6(fumarate)12
CAU-6 (110),Al13(OH)27(H2O)6(BDC-NH2)3Cl6,high,low,"Al13(OH)27(H2O)6(1,4-benzenedicarboxylate-NH2)3Cl6"
"Co-MOF-74/Co-CPO-27/Co-DOBDC (110, 132, 325)",Co2(DOBDC),high,low,"Co2(2,5-dihydroxyterephthalate)"
"Cu-BTC/HKUST-1 (28, 31, 39, 41, 62, 63, 326)",Cu3(BTC)2,high,low,"Cu3(1,3,5-benzenetricarboxylate)2"
"Mg-MOF-74/Mg-CPO-27/Mg-DOBDC (31, 110, 132, 133, 270)",Mg2(DOBDC),high,low,"Mg2(2,5-dihydroxyterephthalate)"
"MIL-101-NO2(Cr) (51, 52)",Cr3F(H2O)2O(BDC-NO2)3,high,low,"Cr3F(H2O)2O(1,4-benzenedicarboxylate-NO2)3"
MIL-47-F(V) (312),V(O)(BDC-F),high,low,"V(O)(1,4-benzenedicarboxylate-F)"
MIL-69(Al)/DUT-4 (28),"Al(OH)(2,6-NDC)",high,low,"Al(OH)(2,6-napthalenedicarboxylate)"
MOF-14 (327),Cu3(BTB)2(H2O)3,high,low,"Cu3(3,5-bis(2H-tetrazol-5-yl)-benzoate)2(H2O)3"
MOF-805 (110),"Zr6O4(OH)4(2,6-NDC-(OH)2)6",high,low,"Zr6O4(OH)4(2,6-napthalenedicarboxylate-(OH)2)6"
MOF-806 (110),Zr6O4(OH)4(BPDC-(OH)2)6,high,low,"Zr6O4(OH)4(4,4′-biphenyldicarboxylate-(OH)2)6"
MOF-808 (110),Zr6O4(OH)4(BTC)2(HCOO)6,high,low,"Zr6O4(OH)4(1,3,5-benzenetricarboxylate)2(HCOO)6"
N/A (80),Ni8(OH)4(H2O)2(L7)6,high,low,Ni8(OH)4(H2O)2(4-(1H-pyrazole-4-yl)benzoate)6
"Ni-DMOF (71, 72)",Ni2(BDC)2(DABCO),high,low,"Ni2(1,4-benzenedicarboxylate)2(4-diazabicyclo[2.2.2]-octane)"
"Ni-MOF-74/Ni-CPO-27/Ni-DOBDC (110, 132, 270)",Ni2(DOBDC),high,low,"Ni2(2,5-dihydroxyterephthalate)"
SCUTC-19 (308),"Zn2(BDC)2(3,3′-dimethyl-BPY)",high,low,"Zn2(1,4-benzenedicarboxylate)2(3,3′-dimethyl-4,4′-bipyridine)"
"Zn-DMOF (31, 71, 72)",Zn2(BDC)2(DABCO),high,low,"Zn2(1,4-benzenedicarboxylate)2(4-diazabicyclo[2.2.2]-octane)"
Zn-DMOF-N (75),"Zn2(1,4-NDC)2(DABCO)",high,low,"Zn2(1,4-napthalenedicarboxylate)2(4-diazabicyclo[2.2.2]-octane)"
"Zn-DMOF-TM0.5 (75, 76)",Zn2(BDC)(BDC-(CH3)4)(DABCO),high,low,"Zn2(1,4-benzenedicarboxylate)(1,4-benzenedicarboxylate-(CH3)4)(4-diazabicyclo[2.2.2]-octane)"
"Zn-MOF-74/Zn-CPO-27/Zn-DOBDC (62, 132)",Zn2(DOBDC),high,low,"Zn2(2,5-dihydroxyterephthalate)"
"Zn-NDC (292, 309)","Zn2(2,6-NDC)2(BPY)",high,low,"Zn2(2,6-napthalenedicarboxylate)2(4,4′-bipyridine)"
Co-DMOF (72),Co2(BDC)2(DABCO),medium,low,"Co2(1,4-benzenedicarboxylate)2(4-diazabicyclo[2.2.2]-octane)"
Cu-DMOF (72),Cu2(BDC)2(DABCO),medium,low,"Cu2(1,4-benzenedicarboxylate)2(4-diazabicyclo[2.2.2]-octane)"
IRMOF-1-CF3O/MOF-5-CF3O/Banasorb-22 (64),Zn4O(BDC-2-CF3O)3,medium,low,"Zn4O(1,4-benzenedicarboxylate-2-CF3O)3"
Cu-EBTC (274),Cu3(BTC-(CH3)2)2(H2O)3,low,low,"Cu3(1,3,5-benzenetricarboxylate-(CH3)2)2(H2O)3"
Cu-HF (292),Cu(HFIPBB)(H2HFIPBB)0.5,low,low,"Cu(4,4′-hexafluoroisopropylidene-bis-benzoate)(H24,4′-hexafluoroisopropylidene-bis-benzoate)0.5"
Cu-MBTC (274),Cu3(BTC-CH3)2(H2O)3,low,low,"Cu3(1,3,5-benzenetricarboxylate-CH3)2(H2O)3"
IRMOF-1-(CH3)2/MOF-5-(CH3)2 (66),Zn4O(BDC-(CH3)2)3,low,low,"Zn4O(1,4-benzenedicarboxylate-(CH3)2)3"
IRMOF-1-CH3/MOF-5-CH3 (66),Zn4O(BDC-CH3)3,low,low,"Zn4O(1,4-benzenedicarboxylate-CH3)3"
IRMOF-3-AM15 (65),Zn4O(BDC-NH-CO-(CH2)14CH3),low,low,"Zn4O(1,4-benzenedicarboxylate-NH-CO-(CH2)14CH3)"
IRMOF-3/MOF-5-NH2 (65),Zn4O(BDC-NH2)3,low,low,"Zn4O(1,4-benzenedicarboxylate-NH2)3"
"MIL-110 (Al) (62, 299)",Al8(OH)12(OH)3(H2O)3(BTC)3,low,low,"Al8(OH)12(OH)3(H2O)3(1,3,5-benzenetricarboxylate)3"
"MIL-125 (Ti) (46, 48)",Ti8O8(OH)4(BDC)6,low,low,"Ti8O8(OH)4(1,4-benzenedicarboxylate)6"
MOFF-1 (84),Cu(CH3OH)(L11),low,low,Cu(CH3OH)(2-((pyridin-4-yl)methylamino)-4-methylpentanoate1)
MOFF-3 (84),CuO(L12),low,low,CuO(2-((pyridin-4-yl)methylamino)-4-methylpentanoate2)
N/A (275),Cu2(TPTC-O-(ethyl)),low,low,"Cu2(2′,5′-dialkyloxy-[1,1′:4′,1″-terphenyl]-3,3″,5,5″-tetracarboxylate-(ethyl))"
N/A (275),Cu2(TPTC-O-(n-propyl)),low,low,"Cu2(2′,5′-dialkyloxy-[1,1′:4′,1″-terphenyl]-3,3″,5,5″-tetracarboxylate-(n-propyl))"
N/A (275),Cu2(TPTC-O-(n-hexyl)),low,low,"Cu2(2′,5′-dialkyloxy-[1,1′:4′,1″-terphenyl]-3,3″,5,5″-tetracarboxylate-(n-hexyl))"
SIFSIX-3-Zn (134),Zn(PYR)2(SiF6),low,low,Zn(pyrazine)2(SiF6)
UiO-66-F2 (322),Zr6O6(BDC-F2)12,low,low,"Zr6O6(1,4-benzenedicarboxylate-F2)12"
UiO-66-F (322),Zr6O6(BDC-F)12,low,low,"Zr6O6(1,4-benzenedicarboxylate-F)12"
