iupac,smiles,expt,calc,inchi,selfies,expt_cat
"2-(2,3-dimethylphenyl)aminobenzoic acid",Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,-7.665,"InChI=1S/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)",[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],large
"N,N-dimethylbenzamide",CN(C)C(=O)c1ccccc1,-9.29,-8.113,"InChI=1S/C9H11NO/c1-10(2)9(11)8-6-4-3-5-7-8/h3-7H,1-2H3",[C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],medium
N-ethylethanamine,CCNCC,-4.07,-2.986,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",[C][C][N][C][C],large
4-tert-butylphenol,CC(C)(C)c1ccc(cc1)O,-5.91,-5.543,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3",[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],large
isopentyl formate,CC(C)CCOC=O,-2.13,-3.414,"InChI=1S/C6H12O2/c1-6(2)3-4-8-5-7/h5-6H,3-4H2,1-2H3",[C][C][Branch1][C][C][C][C][O][C][=O],very large
decan-1-ol,CCCCCCCCCCO,-3.64,-2.446,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",[C][C][C][C][C][C][C][C][C][C][O],large
ethyl propanoate,CCC(=O)OCC,-2.68,-3.221,"InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3",[C][C][C][=Branch1][C][=O][O][C][C],large
nonane,CCCCCCCCC,3.13,3.221,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",[C][C][C][C][C][C][C][C][C],very large
N-methylacetamide,CC(=O)NC,-10.0,-8.276,"InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)",[C][C][=Branch1][C][=O][N][C],medium
non-1-ene,CCCCCCCC=C,2.06,2.995,"InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3",[C][C][C][C][C][C][C][C][=C],very large
naphthalen-2-ol,c1ccc2cc(ccc2c1)O,-8.11,-7.849,"InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H",[C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][O],large
"1,2,4-trichlorobenzene",c1cc(c(cc1Cl)Cl)Cl,-1.12,-0.117,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl],very large
"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,-18.162,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",[C][Branch2][Ring1][Ring1][C@H1][Branch1][#C][C@H1][Branch1][O][C@@H1][Branch1][#Branch1][C@@H1][Branch1][Ring1][C][O][O][O][O][O][O],very small
methyl butanoate,CCCC(=O)OC,-2.83,-3.552,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",[C][C][C][C][=Branch1][C][=O][O][C],large
2-hydroxybenzaldehyde,c1ccc(c(c1)C=O)O,-4.68,-8.809,"InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H",[C][=C][C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=O][O],large
azetidine,C1CNC1,-5.56,-3.861,"InChI=1S/C3H7N/c1-2-4-3-1/h4H,1-3H2",[C][C][N][C][Ring1][Ring2],large
N-propylpropan-1-amine,CCCNCCC,-3.65,-2.233,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",[C][C][C][N][C][C][C],large
aniline,c1ccc(cc1)N,-5.49,-5.543,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],large
tetrafluoromethane,C(F)(F)(F)F,3.12,2.489,"InChI=1S/CF4/c2-1(3,4)5",[C][Branch1][C][F][Branch1][C][F][Branch1][C][F][F],very large
2-methylbutan-1-ol,CC[C@@H](C)CO,-4.42,-2.995,"InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3/t5-/m1/s1",[C][C][C@@H1][Branch1][C][C][C][O],large
2-iodophenol,c1ccc(c(c1)O)I,-6.2,-3.221,"InChI=1S/C6H5IO/c7-5-3-1-2-4-6(5)8/h1-4,8H",[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][I],large
"2,6-dimethoxyphenol",COc1cccc(c1O)OC,-6.96,-7.393,"InChI=1S/C8H10O3/c1-10-6-4-3-5-7(11-2)8(6)9/h3-5,9H,1-2H3",[C][O][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C],large
but-1-yne,CCC#C,-0.16,0.284,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",[C][C][C][#C],very large
trifluoromethylbenzene,c1ccc(cc1)C(F)(F)F,-0.25,-0.57,"InChI=1S/C7H5F3/c8-7(9,10)6-4-2-1-3-5-6/h1-5H",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F],very large
hydrazine,NN,-9.3,-6.508,InChI=1S/H4N2/c1-2/h1-2H2,[N][N],medium
2-methylpyridine,Cc1ccccn1,-4.63,-3.501,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",[C][C][=C][C][=C][C][=N][Ring1][=Branch1],large
simazine,CCNc1nc(nc(n1)Cl)NCC,-10.22,-10.914,"InChI=1S/C7H12ClN5/c1-3-9-6-11-5(8)12-7(13-6)10-4-2/h3-4H2,1-2H3,(H2,9,10,11,12,13)",[C][C][N][C][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][N][C][C],medium
"2,3-dichlorodibenzo-p-dioxin",c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56,-3.59,InChI=1S/C12H6Cl2O2/c13-7-5-11-12(6-8(7)14)16-10-4-2-1-3-9(10)15-11/h1-6H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][O][Ring1][O][Cl][Cl],large
octan-1-amine,CCCCCCCCN,-3.65,-2.589,"InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3",[C][C][C][C][C][C][C][C][N],large
ammonia,N,-4.29,-4.018,InChI=1S/H3N/h1H3,[N],large
"1,2-bis(trifluoromethyl)benzene",c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07,-1.441,"InChI=1S/C8H4F6/c9-7(10,11)5-3-1-2-4-6(5)8(12,13)14/h1-4H",[C][=C][C][=C][Branch1][#C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F],very large
methyl paraben,COC(=O)c1ccc(cc1)O,-9.51,-9.785,"InChI=1S/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3",[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],medium
pentylbenzene,CCCCCc1ccccc1,-0.23,-0.094,"InChI=1S/C11H16/c1-2-3-5-8-11-9-6-4-7-10-11/h4,6-7,9-10H,2-3,5,8H2,1H3",[C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
"1,1-difluoroethane",CC(F)F,-0.11,0.226,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",[C][C][Branch1][C][F][F],very large
5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43,-16.039,"InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=N][Ring1][#Branch1][N][Cl],small
butadiene,C=CC=C,0.56,1.955,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",[C][=C][C][=C],very large
"N,N-dimethylmethanamine",CN(C)C,-3.2,-2.636,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,[C][N][Branch1][C][C][C],large
hexanamide,CCCCCC(=O)N,-9.31,-8.103,"InChI=1S/C6H13NO/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H2,7,8)",[C][C][C][C][C][C][=Branch1][C][=O][N],medium
isobutyl nitrate,CC(C)CO[N+](=O)[O-],-1.88,-1.835,"InChI=1S/C4H9NO3/c1-4(2)3-8-5(6)7/h4H,3H2,1-2H3",[C][C][Branch1][C][C][C][O][N+1][=Branch1][C][=O][O-1],very large
"1-(2-hydroxyethylamino)-9,10-anthraquinone",c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21,-13.599,"InChI=1S/C16H13NO3/c18-9-8-17-13-7-3-6-12-14(13)16(20)11-5-2-1-4-10(11)15(12)19/h1-7,17-18H,8-9H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Branch2][=C][Ring1][=Branch1][C][Ring1][N][=O][N][C][C][O],small
2-(nitrooxy)ethan-1-ol,C(CO[N+](=O)[O-])O,-8.18,-6.676,"InChI=1S/C2H5NO4/c4-1-2-7-3(5)6/h4H,1-2H2",[C][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][O],medium
octan-2-one,CCCCCCC(=O)C,-2.88,-2.758,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",[C][C][C][C][C][C][C][=Branch1][C][=O][C],large
1-methylpiperazine,CN1CCNCC1,-7.77,-8.173,"InChI=1S/C5H12N2/c1-7-4-2-6-3-5-7/h6H,2-5H2,1H3",[C][N][C][C][N][C][C][Ring1][=Branch1],large
ethanamine,CCN,-4.5,-3.156,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",[C][C][N],large
"cyclohepta-1,3,5-triene",C1C=CC=CC=C1,-0.99,-0.098,"InChI=1S/C7H8/c1-2-4-6-7-5-3-1/h1-6H,7H2",[C][C][=C][C][=C][C][=C][Ring1][#Branch1],very large
"9,10-dihydroanthracene",c1ccc2c(c1)Cc3ccccc3C2,-3.78,-4.304,"InChI=1S/C14H12/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-8H,9-10H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O],large
"1,1-dichloroethane",CC(Cl)Cl,-0.84,0.187,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",[C][C][Branch1][C][Cl][Cl],very large
3-methoxyphenol,COc1cccc(c1)O,-7.66,-6.969,"InChI=1S/C7H8O2/c1-9-7-4-2-3-6(8)5-7/h2-5,8H,1H3",[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],large
acenaphthene,c1cc2cccc3c2c(c1)CC3,-3.15,-4.198,"InChI=1S/C12H10/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-6H,7-8H2",[C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][#Branch2][C][C][Ring1][=Branch1],large
1-bromooctane,CCCCCCCCBr,0.52,1.352,"InChI=1S/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",[C][C][C][C][C][C][C][C][Br],very large
phenylmethanol,c1ccc(cc1)CO,-6.62,-5.133,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][O],large
5-bromouracil,c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17,-17.298,"InChI=1S/C4H3BrN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",[C][=C][Branch1][=N][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][Branch2][Br],small
n-butane,CCCC,2.1,2.588,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",[C][C][C][C],very large
chloromethane,CCl,-0.55,0.764,InChI=1S/CH3Cl/c1-2/h1H3,[C][Cl],very large
1-bromo-2-methyl-propane,CC(C)CBr,-0.03,0.756,"InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3",[C][C][Branch1][C][C][C][Br],very large
2-isopropylsulfanylpropane,CC(C)SC(C)C,-1.21,0.14,"InChI=1S/C6H14S/c1-5(2)7-6(3)4/h5-6H,1-4H3",[C][C][Branch1][C][C][S][C][Branch1][C][C][C],very large
heptane,CCCCCCC,2.67,2.925,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",[C][C][C][C][C][C][C],very large
imidazole,c1cnc[nH]1,-9.63,-7.972,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",[C][=C][N][=C][NH1][Ring1][Branch1],medium
"1,2,3,7-tetrachlorodibenzo-p-dioxin",c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84,-2.66,InChI=1S/C12H4Cl4O2/c13-5-1-2-7-8(3-5)17-9-4-6(14)10(15)11(16)12(9)18-7/h1-4H,[C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][O][C][=C][C][=Branch1][#C][=C][Branch1][O][C][=Branch1][#Branch1][=C][Ring1][=Branch1][O][Ring1][=N][Cl][Cl][Cl],large
bromacil,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73,-14.496,"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)/t5-/m0/s1",[C][C][C@H1][Branch1][C][C][N][C][=Branch1][C][=O][C][=Branch1][#Branch2][=C][Branch1][=Branch1][NH1][C][Ring1][#Branch1][=O][C][Br],medium
diiodomethane,C(I)I,-2.49,-1.882,InChI=1S/CH2I2/c2-1-3/h1H2,[C][Branch1][C][I][I],large
"N,N-dipropyl(propylsulfanyl)formamide",CCCN(CCC)C(=O)SCCC,-4.13,-4.569,"InChI=1S/C10H21NOS/c1-4-7-11(8-5-2)10(12)13-9-6-3/h4-9H2,1-3H3",[C][C][C][N][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][S][C][C][C],large
nitromethane,C[N+](=O)[O-],-4.02,-2.075,InChI=1S/CH3NO2/c1-2(3)4/h1H3,[C][N+1][=Branch1][C][=O][O-1],large
methoxyethane,CCOC,-2.1,-0.71,"InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3",[C][C][O][C],very large
"2-chloro-1,1,1-trimethoxy-ethane",COC(CCl)(OC)OC,-4.59,-3.638,"InChI=1S/C5H11ClO3/c1-7-5(4-6,8-2)9-3/h4H2,1-3H3",[C][O][C][Branch1][Ring1][C][Cl][Branch1][Ring1][O][C][O][C],large
isobutane,CC(C)C,2.3,2.535,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",[C][C][Branch1][C][C][C],very large
3-methylbutanoic acid,CC(C)CC(=O)O,-6.09,-8.844,"InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)",[C][C][Branch1][C][C][C][C][=Branch1][C][=O][O],large
"2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07,-9.029,"InChI=1S/C12H14Cl3O4P/c1-3-17-20(16,18-4-2)19-12(8-13)10-6-5-9(14)7-11(10)15/h5-8H,3-4H2,1-2H3/b12-8+",[C][C][O][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][O][/C][=Branch1][Ring1][=C][/Cl][/C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl],large
1-chloropropane,CCCCl,-0.33,0.973,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",[C][C][C][Cl],very large
1-propylsulfanylpropane,CCCSCCC,-1.28,0.64,"InChI=1S/C6H14S/c1-3-5-7-6-4-2/h3-6H2,1-2H3",[C][C][C][S][C][C][C],very large
hexan-3-ol,CCC[C@H](CC)O,-4.06,-2.585,"InChI=1S/C6H14O/c1-3-5-6(7)4-2/h6-7H,3-5H2,1-2H3/t6-/m0/s1",[C][C][C][C@H1][Branch1][Ring1][C][C][O],large
acetonitrile,CC#N,-3.88,-2.789,InChI=1S/C2H3N/c1-2-3/h1H3,[C][C][#N],large
"N-methyl-N-(2,2,2-trifluoroethyl)aniline",CN(CC(F)(F)F)c1ccccc1,-1.92,-3.964,"InChI=1S/C9H10F3N/c1-13(7-9(10,11)12)8-5-3-2-4-6-8/h2-6H,7H2,1H3",[C][N][Branch1][#Branch2][C][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1,-1.156,"InChI=1S/C3H2ClF5O/c4-1(3(7,8)9)10-2(5)6/h1-2H/t1-/m0/s1",[C@@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][#Branch1][O][C][Branch1][C][F][F][Cl],very large
"hexa-1,5-diene",C=CCCC=C,1.01,2.487,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2",[C][=C][C][C][C][=C],very large
m-xylene,Cc1cccc(c1)C,-0.83,-0.697,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C],very large
methyl acetate,CC(=O)OC,-3.13,-3.83,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,[C][C][=Branch1][C][=O][O][C],large
trimethoxymethylbenzene,COC(c1ccccc1)(OC)OC,-4.04,-5.559,"InChI=1S/C10H14O3/c1-11-10(12-2,13-3)9-7-5-4-6-8-9/h4-8H,1-3H3",[C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][Ring1][O][C][O][C],large
ethyl benzoate,CCOC(=O)c1ccccc1,-3.64,-4.597,"InChI=1S/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3",[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],large
propanethiol,CCCS,-1.1,-0.182,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3",[C][C][C][S],very large
heptan-2-one,CCCCCC(=O)C,-3.04,-2.945,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",[C][C][C][C][C][C][=Branch1][C][=O][C],large
